Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL_8W_60 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_9	plant	[plant]9
RIL_8W_61 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_11	plant	[plant]11
RIL_8W_62 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_173	plant	[plant]173
RIL_8W_63 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_182	plant	[plant]182
RIL_8W_64 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_349	plant	[plant]349
RIL_8W_65 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_449	plant	[plant]449
RIL_8W_66 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_451	plant	[plant]451
RIL_8W_67 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_455	plant	[plant]455
RIL_8W_68 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_460	plant	[plant]460
RIL_8W_69 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_473	plant	[plant]473
RIL_8W_7 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_90	plant	[plant]90
RIL_8W_70 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_481	plant	[plant]481
RIL_8W_71 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_496	plant	[plant]496
RIL_8W_72 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_505	plant	[plant]505
RIL_8W_73 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_509	plant	[plant]509
RIL_8W_74 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_513	plant	[plant]513
RIL_8W_75 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_529	plant	[plant]529
RIL_8W_76 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_18	plant	[plant]18
RIL_8W_77 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_39	plant	[plant]39
RIL_8W_78 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_46	plant	[plant]46
RIL_8W_79 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_75	plant	[plant]75
RIL_8W_8 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_47	plant	[plant]47
RIL_8W_80 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_86	plant	[plant]86
RIL_8W_81 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_91	plant	[plant]91
RIL_8W_82 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_97	plant	[plant]97
RIL_8W_83 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_120	plant	[plant]120
RIL_8W_84 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_132	plant	[plant]132
RIL_8W_85 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_141	plant	[plant]141
RIL_8W_86 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_151	plant	[plant]151
RIL_8W_87 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_162	plant	[plant]162
RIL_8W_88 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_184	plant	[plant]184
RIL_8W_89 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_194	plant	[plant]194
RIL_8W_9 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_43	plant	[plant]43
RIL_8W_90 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_212	plant	[plant]212
RIL_8W_91 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_215	plant	[plant]215
RIL_8W_92 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_223	plant	[plant]223
RIL_8W_93 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_225	plant	[plant]225
RIL_8W_94 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_31	plant	[plant]31
RIL_8W_95 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_231	plant	[plant]231
RIL_8W_96 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_251	plant	[plant]251
RIL_8W_97 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_271	plant	[plant]271
RIL_8W_98 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_288	plant	[plant]288
RIL_8W_99 RIL 8-way 	NCBI:4577	Zea	mays	sample collection	pot_282	plant	[plant]282
RIL_8W_EP10_10	NCBI:4577	Zea	mays	sample collection	pot_17	plant	[plant]17
RIL_8W_EP10_17	NCBI:4577	Zea	mays	sample collection	pot_19	plant	[plant]19
RIL_8W_EP10_18	NCBI:4577	Zea	mays	sample collection	pot_20	plant	[plant]20
RIL_8W_EP10_21	NCBI:4577	Zea	mays	sample collection	pot_21	plant	[plant]21
RIL_8W_EP10_29	NCBI:4577	Zea	mays	sample collection	pot_22	plant	[plant]22
RIL_8W_EP10_36	NCBI:4577	Zea	mays	sample collection	pot_23	plant	[plant]23
RIL_8W_EP10_37	NCBI:4577	Zea	mays	sample collection	pot_24	plant	[plant]24
RIL_8W_EP10_41	NCBI:4577	Zea	mays	sample collection	pot_26	plant	[plant]26
RIL_8W_EP10_43	NCBI:4577	Zea	mays	sample collection	pot_27	plant	[plant]27
RIL_8W_EP10_47	NCBI:4577	Zea	mays	sample collection	pot_28	plant	[plant]28
RIL_8W_EP10_5	NCBI:4577	Zea	mays	sample collection	pot_29	plant	[plant]29
RIL_8W_EP10_8	NCBI:4577	Zea	mays	sample collection	pot_30	plant	[plant]30
RIL_8W_EP11_21	NCBI:4577	Zea	mays	sample collection	pot_32	plant	[plant]32
RIL_8W_EP11_3	NCBI:4577	Zea	mays	sample collection	pot_33	plant	[plant]33
RIL_8W_EP11_30	NCBI:4577	Zea	mays	sample collection	pot_34	plant	[plant]34
RIL_8W_EP11_32	NCBI:4577	Zea	mays	sample collection	pot_35	plant	[plant]35
RIL_8W_EP11_39	NCBI:4577	Zea	mays	sample collection	pot_36	plant	[plant]36
RIL_8W_EP11_4	NCBI:4577	Zea	mays	sample collection	pot_37	plant	[plant]37
RIL_8W_EP11_49	NCBI:4577	Zea	mays	sample collection	pot_38	plant	[plant]38
RIL_8W_EP11_55	NCBI:4577	Zea	mays	sample collection	pot_40	plant	[plant]40
RIL_8W_EP11_61	NCBI:4577	Zea	mays	sample collection	pot_41	plant	[plant]41
RIL_8W_EP11_7	NCBI:4577	Zea	mays	sample collection	pot_44	plant	[plant]44
RIL_8W_EP11_71	NCBI:4577	Zea	mays	sample collection	pot_45	plant	[plant]45
RIL_8W_EP12_104	NCBI:4577	Zea	mays	sample collection	pot_48	plant	[plant]48
RIL_8W_EP12_117	NCBI:4577	Zea	mays	sample collection	pot_49	plant	[plant]49
RIL_8W_EP12_25	NCBI:4577	Zea	mays	sample collection	pot_51	plant	[plant]51
RIL_8W_EP12_34	NCBI:4577	Zea	mays	sample collection	pot_52	plant	[plant]52
RIL_8W_EP12_37	NCBI:4577	Zea	mays	sample collection	pot_54	plant	[plant]54
RIL_8W_EP12_39	NCBI:4577	Zea	mays	sample collection	pot_55	plant	[plant]55
RIL_8W_EP12_40	NCBI:4577	Zea	mays	sample collection	pot_56	plant	[plant]56
RIL_8W_EP12_41	NCBI:4577	Zea	mays	sample collection	pot_57	plant	[plant]57
RIL_8W_EP12_48	NCBI:4577	Zea	mays	sample collection	pot_58	plant	[plant]58
RIL_8W_EP12_84	NCBI:4577	Zea	mays	sample collection	pot_60	plant	[plant]60
RIL_8W_EP12_86	NCBI:4577	Zea	mays	sample collection	pot_61	plant	[plant]61
RIL_8W_EP13_107	NCBI:4577	Zea	mays	sample collection	pot_62	plant	[plant]62
RIL_8W_EP13_21	NCBI:4577	Zea	mays	sample collection	pot_63	plant	[plant]63
RIL_8W_EP13_22	NCBI:4577	Zea	mays	sample collection	pot_64	plant	[plant]64
RIL_8W_EP13_23	NCBI:4577	Zea	mays	sample collection	pot_65	plant	[plant]65
RIL_8W_EP13_25	NCBI:4577	Zea	mays	sample collection	pot_66	plant	[plant]66
RIL_8W_EP13_28	NCBI:4577	Zea	mays	sample collection	pot_67	plant	[plant]67
