observationLevels[BLOCK]	observationLevels[BLOCK>PLOT>PLANT]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	NB_SHOOT_II_PLANT	NB_NCP_PLANT	NB_INFLO_NCP_PLANT	NB_SHOOTS_SPURS_PLANT	NB_SHOOT_ALL_M2	NB_INFLO_II_PLANT	FERT_SHOOT_II	NB_INFLO_SPURS_PLANT	FERT_SPURS	NB_SHOOT_I_PLANT	HS_Tmax_B02_15FB	BUD_DATE	FERT_PRIM	FERT_NCP	DOY_BUD	FERT_SHOOT_I	NB_SHOOT_ALL_PLANT	FERT_GLOB	NB_SHOOT_I_M2	NB_INFLO_ALL_PLANT	NB_INFLO_I_PLANT
1	26541.5	26541	2992332-2009	gnpis.lot:'0066E'	23	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZSUUFURA==	Riesling*Gewurztraminer0066E	41207Col0066E	2009	NA																			4.848485		
1	26541.5	26541	2992332-2009	gnpis.lot:'0066E'	23	5	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZSUUFURA==	Riesling*Gewurztraminer0066E	41207Col0066E	2009	NA					8.242424																
3	26553.28	26553	2992365-2006	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2006	NA												2006-04-25									
3	26553.28	26553	2992365-2006	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2006	NA															115.346153846149						
3	26553.28	26553	2992365-2006	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2006	NA											575.9										
3	26553.28	26553	2992365-2007	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2007	NA												2007-04-11									
3	26553.28	26553	2992365-2007	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2007	NA															101						
3	26553.28	26553	2992365-2007	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2007	NA											572.3										
3	26553.28	26553	2992365-2008	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2008	NA												2008-04-23									
3	26553.28	26553	2992365-2008	gnpis.lot:'0022E'	23	28	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VMVUxXVw==	Riesling*Gewurztraminer0022E	41207Col0022E	2008	NA															114.819604612851						
