Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
Riesling*Gewurztraminer0013D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013D	https://doi.org/10.15454/POEPLD	sample collection	26345	BLOCK>PLOT	[X]16; [Y]32; [BLOCK>PLOT]26345; [BLOCK]3
Riesling*Gewurztraminer0013D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013D	https://doi.org/10.15454/POEPLD	sample collection	26549.21	BLOCK>PLOT>PLANT	[X]23; [Y]21; [plant]26549.21; [BLOCK>PLOT>PLANT]26549.21; [BLOCK>PLOT]26549; [BLOCK]2
Riesling*Gewurztraminer0013D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013D	https://doi.org/10.15454/POEPLD	sample collection	26663.8	BLOCK>PLOT>PLANT	[X]27; [Y]8; [plant]26663.8; [BLOCK>PLOT>PLANT]26663.8; [BLOCK>PLOT]26663; [BLOCK]1
Riesling*Gewurztraminer0013D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013D	https://doi.org/10.15454/POEPLD	sample collection	26549.20	BLOCK>PLOT>PLANT	[X]23; [Y]20; [plant]26549.20; [BLOCK>PLOT>PLANT]26549.20; [BLOCK>PLOT]26549; [BLOCK]2
Riesling*Gewurztraminer0013E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013E	https://doi.org/10.15454/IU3ABB	sample collection	26427.16	BLOCK>PLOT>PLANT	[X]19; [Y]16; [plant]26427.16; [BLOCK>PLOT>PLANT]26427.16; [BLOCK>PLOT]26427; [BLOCK]2
Riesling*Gewurztraminer0013E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0013E	https://doi.org/10.15454/IU3ABB	sample collection	26693	BLOCK>PLOT	[X]28; [Y]8; [BLOCK>PLOT]26693; [BLOCK]1
Riesling*Gewurztraminer0014D	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0014D	https://doi.org/10.15454/EU6X8B	sample collection	26585.32	BLOCK>PLOT>PLANT	[X]24; [Y]32; [plant]26585.32; [BLOCK>PLOT>PLANT]26585.32; [BLOCK>PLOT]26585; [BLOCK]3
Riesling*Gewurztraminer0014E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0014E	https://doi.org/10.15454/VUGWYM	sample collection	26370	BLOCK>PLOT	[X]17; [Y]22; [BLOCK>PLOT]26370; [BLOCK]2
Riesling*Gewurztraminer0014E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0014E	https://doi.org/10.15454/VUGWYM	sample collection	26642.26	BLOCK>PLOT>PLANT	[X]26; [Y]26; [plant]26642.26; [BLOCK>PLOT>PLANT]26642.26; [BLOCK>PLOT]26642; [BLOCK]3
Riesling*Gewurztraminer0014E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0014E	https://doi.org/10.15454/VUGWYM	sample collection	26642	BLOCK>PLOT	[X]26; [Y]26; [BLOCK>PLOT]26642; [BLOCK]3
Riesling*Gewurztraminer0014E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0014E	https://doi.org/10.15454/VUGWYM	sample collection	26370.23	BLOCK>PLOT>PLANT	[X]17; [Y]23; [plant]26370.23; [BLOCK>PLOT>PLANT]26370.23; [BLOCK>PLOT]26370; [BLOCK]2
Riesling*Gewurztraminer0015E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0015E	https://doi.org/10.15454/XZ9E8G	sample collection	26734	BLOCK>PLOT	[X]29; [Y]30; [BLOCK>PLOT]26734; [BLOCK]3
Riesling*Gewurztraminer0015E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0015E	https://doi.org/10.15454/XZ9E8G	sample collection	26734.31	BLOCK>PLOT>PLANT	[X]29; [Y]31; [plant]26734.31; [BLOCK>PLOT>PLANT]26734.31; [BLOCK>PLOT]26734; [BLOCK]3
Riesling*Gewurztraminer0016E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0016E	https://doi.org/10.15454/U0H1FE	sample collection	26223	BLOCK>PLOT	[X]12; [Y]28; [BLOCK>PLOT]26223; [BLOCK]3
Riesling*Gewurztraminer0017E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0017E	https://doi.org/10.15454/NQYN1S	sample collection	26737	BLOCK>PLOT	[X]29; [Y]36; [BLOCK>PLOT]26737; [BLOCK]3
Riesling*Gewurztraminer0017E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0017E	https://doi.org/10.15454/NQYN1S	sample collection	26815.13	BLOCK>PLOT>PLANT	[X]32; [Y]13; [plant]26815.13; [BLOCK>PLOT>PLANT]26815.13; [BLOCK>PLOT]26815; [BLOCK]1
Riesling*Gewurztraminer0018E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0018E	https://doi.org/10.15454/T2LQQR	sample collection	26637	BLOCK>PLOT	[X]26; [Y]16; [BLOCK>PLOT]26637; [BLOCK]2
Riesling*Gewurztraminer0018E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0018E	https://doi.org/10.15454/T2LQQR	sample collection	26637.16	BLOCK>PLOT>PLANT	[X]26; [Y]16; [plant]26637.16; [BLOCK>PLOT>PLANT]26637.16; [BLOCK>PLOT]26637; [BLOCK]2
Riesling*Gewurztraminer0020E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0020E	https://doi.org/10.15454/12GEOO	sample collection	26341	BLOCK>PLOT	[X]16; [Y]24; [BLOCK>PLOT]26341; [BLOCK]2
Riesling*Gewurztraminer0020E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0020E	https://doi.org/10.15454/12GEOO	sample collection	26404.31	BLOCK>PLOT>PLANT	[X]18; [Y]31; [plant]26404.31; [BLOCK>PLOT>PLANT]26404.31; [BLOCK>PLOT]26404; [BLOCK]3
Riesling*Gewurztraminer0020E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0020E	https://doi.org/10.15454/12GEOO	sample collection	26341.25	BLOCK>PLOT>PLANT	[X]16; [Y]25; [plant]26341.25; [BLOCK>PLOT>PLANT]26341.25; [BLOCK>PLOT]26341; [BLOCK]2
Riesling*Gewurztraminer0020E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0020E	https://doi.org/10.15454/12GEOO	sample collection	26404.30	BLOCK>PLOT>PLANT	[X]18; [Y]30; [plant]26404.30; [BLOCK>PLOT>PLANT]26404.30; [BLOCK>PLOT]26404; [BLOCK]3
Riesling*Gewurztraminer0020E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0020E	https://doi.org/10.15454/12GEOO	sample collection	26341.24	BLOCK>PLOT>PLANT	[X]16; [Y]24; [plant]26341.24; [BLOCK>PLOT>PLANT]26341.24; [BLOCK>PLOT]26341; [BLOCK]2
Riesling*Gewurztraminer0021E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0021E	https://doi.org/10.15454/0YCEPB	sample collection	26330.3	BLOCK>PLOT>PLANT	[X]16; [Y]3; [plant]26330.3; [BLOCK>PLOT>PLANT]26330.3; [BLOCK>PLOT]26330; [BLOCK]1
Riesling*Gewurztraminer0021E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0021E	https://doi.org/10.15454/0YCEPB	sample collection	26728.18	BLOCK>PLOT>PLANT	[X]29; [Y]18; [plant]26728.18; [BLOCK>PLOT>PLANT]26728.18; [BLOCK>PLOT]26728; [BLOCK]2
Riesling*Gewurztraminer0021E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0021E	https://doi.org/10.15454/0YCEPB	sample collection	26617.36	BLOCK>PLOT>PLANT	[X]25; [Y]36; [plant]26617.36; [BLOCK>PLOT>PLANT]26617.36; [BLOCK>PLOT]26617; [BLOCK]3
Riesling*Gewurztraminer0022E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0022E	https://doi.org/10.15454/ELULWW	sample collection	26273.8	BLOCK>PLOT>PLANT	[X]14; [Y]8; [plant]26273.8; [BLOCK>PLOT>PLANT]26273.8; [BLOCK>PLOT]26273; [BLOCK]1
Riesling*Gewurztraminer0022E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0022E	https://doi.org/10.15454/ELULWW	sample collection	26553.28	BLOCK>PLOT>PLANT	[X]23; [Y]28; [plant]26553.28; [BLOCK>PLOT>PLANT]26553.28; [BLOCK>PLOT]26553; [BLOCK]3
Riesling*Gewurztraminer0023E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0023E	https://doi.org/10.15454/EHNUN3	sample collection	26817	BLOCK>PLOT	[X]32; [Y]16; [BLOCK>PLOT]26817; [BLOCK]2
Riesling*Gewurztraminer0024E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0024E	https://doi.org/10.15454/U0FZ2O	sample collection	26361	BLOCK>PLOT	[X]17; [Y]4; [BLOCK>PLOT]26361; [BLOCK]1
Riesling*Gewurztraminer0024E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0024E	https://doi.org/10.15454/U0FZ2O	sample collection	26361.5	BLOCK>PLOT>PLANT	[X]17; [Y]5; [plant]26361.5; [BLOCK>PLOT>PLANT]26361.5; [BLOCK>PLOT]26361; [BLOCK]1
Riesling*Gewurztraminer0024E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0024E	https://doi.org/10.15454/U0FZ2O	sample collection	26435.32	BLOCK>PLOT>PLANT	[X]19; [Y]32; [plant]26435.32; [BLOCK>PLOT>PLANT]26435.32; [BLOCK>PLOT]26435; [BLOCK]3
Riesling*Gewurztraminer0025E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0025E	https://doi.org/10.15454/A2JEQK	sample collection	26763.28	BLOCK>PLOT>PLANT	[X]30; [Y]28; [plant]26763.28; [BLOCK>PLOT>PLANT]26763.28; [BLOCK>PLOT]26763; [BLOCK]3
Riesling*Gewurztraminer0025E	NCBI:29760	Vitis	vinifera	subsp. vinifera cv. Riesling*Gewurztraminer 41207	41207Col0025E	https://doi.org/10.15454/A2JEQK	sample collection	26763.29	BLOCK>PLOT>PLANT	[X]30; [Y]29; [plant]26763.29; [BLOCK>PLOT>PLANT]26763.29; [BLOCK>PLOT]26763; [BLOCK]3
