observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Circum1	Height1	REP	Shoots3	Circum2	Syllep1	Height2
2889661-2005	gnpis.lot:'661300515'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dWSkdMRg==	661300515	661300515	2005	2005-05-01T02:00:00Z			6				
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-01-01T01:00:00Z	62.13						
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-12-01T01:00:00Z					167.31		
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-01-01T01:00:00Z		280.39999999999998					
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-12-01T01:00:00Z							811.5
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-01-01T01:00:00Z						38.39	
2889415-2004	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2004	2004-12-01T01:00:00Z			6				
2889415-2005	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2005	2005-05-01T02:00:00Z				12.623809			
2889415-2005	gnpis.lot:'661300236'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lCNFBJRQ==	661300236	661300236	2005	2005-05-01T02:00:00Z			6				
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-01-01T01:00:00Z	61.57						
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-12-01T01:00:00Z					157.44999999999999		
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-01-01T01:00:00Z		276.2					
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-12-01T01:00:00Z							775.7
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-01-01T01:00:00Z						32.03	
2889445-2004	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2004	2004-01-01T01:00:00Z			6				
2889445-2005	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2005	2005-05-01T02:00:00Z				8.6142250000000011			
2889445-2005	gnpis.lot:'661300279'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNLMUNKSg==	661300279	661300279	2005	2005-05-01T02:00:00Z			6				
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-01-01T01:00:00Z	47.57						
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-12-01T01:00:00Z					130.44999999999999		
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-01-01T01:00:00Z		234.9					
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-12-01T01:00:00Z							699
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-01-01T01:00:00Z						41.69	
2889523-2004	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2004	2004-12-01T01:00:00Z			6				
2889523-2005	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2005	2005-05-01T02:00:00Z				15.382084000000001			
2889523-2005	gnpis.lot:'661300370'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFRTUlBUA==	661300370	661300370	2005	2005-05-01T02:00:00Z			6				
2889537-2004	gnpis.lot:'661300385'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09WVkc5Rg==	661300385	661300385	2004	2004-01-01T01:00:00Z	64.48						
