observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	sept	rdt
1	2833456-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA	5	
2	2833469-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA		37,08
2	2833469-2008	gnpis.lot:'DI08014'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxNA==	DI08014	DI08014	2008	NA	5,8	
1	2833472-2008	gnpis.lot:'RE07040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGN1NLUg==	RE07040	35715	2008	NA		49,41
1	2833472-2008	gnpis.lot:'RE07040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0xGN1NLUg==	RE07040	35715	2008	NA	3	
2	2833491-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA		38,45
2	2833491-2008	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2008	NA	5	
2	2833501-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA		27,85
2	2833501-2008	gnpis.lot:'AO08511'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxMQ==	AO08511	AO08511	2008	NA	8	
1	2833474-2008	gnpis.lot:'Musik'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pQOUxDSQ==	MUSIK	36668	2008	NA		47,16
1	2833474-2008	gnpis.lot:'Musik'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pQOUxDSQ==	MUSIK	36668	2008	NA	4	
1	2833504-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA		36,83
1	2833504-2008	gnpis.lot:'DI08008'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOA==	DI08008	DI08008	2008	NA	4	
2	2833523-2008	gnpis.lot:'RE07075'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3NQ==	RE07075	RE07075	2008	NA		42,4
2	2833523-2008	gnpis.lot:'RE07075'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA3NQ==	RE07075	RE07075	2008	NA	5,2	
2	2833529-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA		51,25
2	2833529-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA	3	
1	2833516-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA		37,97
1	2833516-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA	4,5	
2	2833459-2008	gnpis.lot:'EM07246'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzI0Ng==	EM07246	EM07246	2008	NA		44,45
2	2833459-2008	gnpis.lot:'EM07246'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzI0Ng==	EM07246	EM07246	2008	NA	5,5	
