observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833547-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA						76,3
2833547-2008	gnpis.lot:'EM07213'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNzIxMw==	EM07213	EM07213	2008	NA					4,2	
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA			90,1			
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA				35,9		
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA	88					
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA		138				
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA						69,1
2833537-2008	gnpis.lot:'DI08010'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAxMA==	DI08010	DI08010	2008	NA					4,8	
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA			96,1			
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA				38,3		
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA	84					
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA		142				
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA						70,2
2833562-2008	gnpis.lot:'RE07045'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA0NQ==	RE07045	RE07045	2008	NA					5,8	
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA			124,9			
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA				49,8		
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA	95					
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA		140				
2833551-2008	gnpis.lot:'CF07138'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNzEzOA==	CF07138	CF07138	2008	NA						73,2
