observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	prot	r	rdt
2791724-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA			96,3
2791724-2003	gnpis.lot:'EM02147'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE0Nw==	EM02147	EM02147	2003	NA	13,7		
2791699-2003	gnpis.lot:'DI03023'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMw==	DI03023	DI03023	2003	NA		103,9	
2791699-2003	gnpis.lot:'DI03023'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMw==	DI03023	DI03023	2003	NA			72,5
2791699-2003	gnpis.lot:'DI03023'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMw==	DI03023	DI03023	2003	NA			
2791706-2003	gnpis.lot:'DI03020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMA==	DI03020	DI03020	2003	NA		93,3	
2791706-2003	gnpis.lot:'DI03020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMA==	DI03020	DI03020	2003	NA			89,5
2791706-2003	gnpis.lot:'DI03020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyMA==	DI03020	DI03020	2003	NA	14,8		
2791710-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA		102,1	
2791710-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA			98
2791710-2003	gnpis.lot:'DI03025'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMzAyNQ==	DI03025	DI03025	2003	NA	13		
2791740-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA		93	
2791740-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA			89,2
2791740-2003	gnpis.lot:'EM02157'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMjE1Nw==	EM02157	EM02157	2003	NA	12,6		
2791712-2003	gnpis.lot:'RE02016'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAxNg==	RE02016	RE02016	2003	NA		109,9	
2791712-2003	gnpis.lot:'RE02016'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAxNg==	RE02016	RE02016	2003	NA			105,4
2791712-2003	gnpis.lot:'RE02016'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMjAxNg==	RE02016	RE02016	2003	NA	11,3		
2791722-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA		107	
2791722-2003	gnpis.lot:'CF01108'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwMTEwOA==	CF01108	CF01108	2003	NA			102,6
