observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
1	2858888-2011	gnpis.lot:'RE10043'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FJTDBUUg==	RE10043	RE10043	2011	NA	83,33
2	2858845-2011	gnpis.lot:'DI11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01HWENURg==	DI11003	DI11003	2011	NA	89,43
2	2858831-2011	gnpis.lot:'DI11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FSVkVMOA==	DI11004	DI11004	2011	NA	72,44
1	2858932-2011	gnpis.lot:'RE10023'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhHV0dCRw==	RE10023	RE10023	2011	NA	80,6
2	2858897-2011	gnpis.lot:'RE10040'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1UwQVdLUA==	RE10040	37214	2011	NA	86,58
2	2858867-2011	gnpis.lot:'Altigo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZDWUJHTQ==	ALTIGO	29843	2011	NA	NA
1	2858918-2011	gnpis.lot:'RE10029'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGNVRDNw==	RE10029	RE10029	2011	NA	74,07
2	2858799-2011	gnpis.lot:'CF10049'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01GNExWNw==	CF10049	CF10049	2011	NA	76,07
2	2858795-2011	gnpis.lot:'Bermude'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1cxTlNaWA==	BERMUDE	29852	2011	NA	79,83
1	2858900-2011	gnpis.lot:'DI11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzlNT1c4Uw==	DI11007	DI11007	2011	NA	76,08
2	2858883-2011	gnpis.lot:'EM10241'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1FLT0RRSg==	EM10241	EM10241	2011	NA	80,33
2	2858847-2011	gnpis.lot:'DI11001'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY1TE5VSg==	DI11001	DI11001	2011	NA	75,32
2	2858903-2011	gnpis.lot:'CF10011'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lGU0hBOA==	CF10011	CF10011	2011	NA	75,2
1	2858844-2011	gnpis.lot:'DI11003'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L01HWENURg==	DI11003	DI11003	2011	NA	85,41
1	2858840-2011	gnpis.lot:'DI11002'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hVV1hZTA==	DI11002	DI11002	2011	NA	84,29
1	2858848-2011	gnpis.lot:'DI11001'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzY1TE5VSg==	DI11001	DI11001	2011	NA	84,78
2	2858865-2011	gnpis.lot:'AO11004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s0RFBCSA==	AO11004	AO11004	2011	NA	NA
2	2858783-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA	74,07
2	2858809-2011	gnpis.lot:'AO11007'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FLRllJSA==	AO11007	AO11007	2011	NA	78,69
1	2858784-2011	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2011	NA	74,01
