observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	rdt
2	2887672-2014	gnpis.lot:'Arezzo'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGTlhDVw==	AREZZO	32759	2014	NA	81,8
2	2887638-2014	gnpis.lot:'RE14131'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FONVBRQg==	RE14131	RE14131	2014	NA	72,24
2	2887640-2014	gnpis.lot:'CF13081'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1A5N0lBSQ==	CF13081	CF13081	2014	NA	68,49
2	2887598-2014	gnpis.lot:'Barok'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ozTU5ZRg==	BAROK	32101	2014	NA	84,13
2	2887642-2014	gnpis.lot:'AO14024'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0kzV0IzUA==	AO14024	AO14024	2014	NA	64,7
1	2887657-2014	gnpis.lot:'AO14025'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BTRFZEVA==	AO14025	AO14025	2014	NA	69,94
2	2887612-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA	85,21
1	2887641-2014	gnpis.lot:'AO14024'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0kzV0IzUA==	AO14024	AO14024	2014	NA	56,37
2	2887616-2014	gnpis.lot:'AO14035'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1hKSURZVg==	AO14035	AO14035	2014	NA	90,13
2	2887644-2014	gnpis.lot:'CF13217'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0pIQ1dNWQ==	CF13217	CF13217	2014	NA	66,24
2	2887626-2014	gnpis.lot:'RE13138'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhEQ1c4Rg==	RE13138	RE13138	2014	NA	74,25
1	2887619-2014	gnpis.lot:'AO14036'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L09XODU3RQ==	AO14036	AO14036	2014	NA	103,84
1	2887611-2014	gnpis.lot:'RE14129'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzFXUlhNWg==	RE14129	RE14129	2014	NA	80,94
2	2887614-2014	gnpis.lot:'RE13107'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0VNNEtDWg==	RE13107	RE13107	2014	NA	88,87
1	2887661-2014	gnpis.lot:'AO14027'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0FKUk5RWA==	AO14027	AO14027	2014	NA	78,18
