observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
2	2826243-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA			
2	2826297-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA		49,83	
2	2826297-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA			60,2
2	2826297-2007	gnpis.lot:'DI07017'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAxNw==	DI07017	DI07017	2007	NA	2		
1	2826324-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA		45,66	
1	2826324-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA			62,7
1	2826324-2007	gnpis.lot:'DI07019'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NGUFJBVg==	DI07019	DI07019	2007	NA	1,5		
1	2826354-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA		93,85	
1	2826354-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA			75,9
1	2826354-2007	gnpis.lot:'CF06250'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI1MA==	CF06250	CF06250	2007	NA			
1	2826236-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA		46,01	
1	2826236-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA			62,6
1	2826236-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA	2		
1	2826286-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA		91,2	
1	2826286-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA			72,6
1	2826286-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA			
2	2826377-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA		44,98	
2	2826377-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA			60,9
2	2826377-2007	gnpis.lot:'CF06210'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JaR0JIVw==	CF06210	36763	2007	NA	8,5		
1	2826344-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA		77,81	
1	2826344-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA			68,4
1	2826344-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA	1		
1	2826374-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA		77,94	
1	2826374-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA			73,9
1	2826374-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA			
2	2826351-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA		94,68	
2	2826351-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			73,7
2	2826351-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			
1	2826388-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA		46,07	
1	2826388-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA			57,6
1	2826388-2007	gnpis.lot:'CF06273'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI3Mw==	CF06273	CF06273	2007	NA	1		
1	2826340-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA		48,52	
1	2826340-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			59,3
1	2826340-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA	1		
2	2826381-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA		52,9	
2	2826381-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			60,3
2	2826381-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA	6,5		
2	2826281-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA		35,12	
2	2826281-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			60
2	2826281-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA	2		
1	2826348-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA		63,6	
1	2826348-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			64,5
1	2826348-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA	1		
2	2826241-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA		72,09	
2	2826241-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA			66,3
2	2826241-2007	gnpis.lot:'RE06134'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0s2UldKSw==	RE06134	35315	2007	NA	2		
2	2826277-2007	gnpis.lot:'EM06229'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTS0tIUw==	EM06229	36798	2007	NA		61,39	
2	2826277-2007	gnpis.lot:'EM06229'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTS0tIUw==	EM06229	36798	2007	NA			62,3
2	2826277-2007	gnpis.lot:'EM06229'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ZTS0tIUw==	EM06229	36798	2007	NA	1		
2	2826239-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA		77,47	
2	2826239-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA			67
2	2826239-2007	gnpis.lot:'DI07020'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwNzAyMA==	DI07020	DI07020	2007	NA			
2	2826375-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA		83,67	
2	2826375-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA			74,6
2	2826375-2007	gnpis.lot:'CF06296'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5Ng==	CF06296	CF06296	2007	NA			
1	2826316-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA		44,11	
1	2826316-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA			59,1
1	2826316-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA	7,5		
1	2826346-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA		96	
1	2826346-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA			75
1	2826346-2007	gnpis.lot:'RE06127'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1RCS1dRTg==	RE06127	35314	2007	NA			
1	2826332-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA		46,18	
1	2826332-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA			58,6
1	2826332-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA	1		
1	2826306-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA		86,46	
1	2826306-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA			76,4
1	2826306-2007	gnpis.lot:'DI07015'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NXNk1QRQ==	DI07015	37273	2007	NA			
2	2826289-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA		45,25	
2	2826289-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA			70,2
2	2826289-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA	5,5		
2	2826363-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA		90,6	
2	2826363-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA			69,9
2	2826363-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA			
2	2826343-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA		94,33	
2	2826343-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			73,2
2	2826343-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			
2	2826365-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA		57,14	
2	2826365-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA			60,4
2	2826365-2007	gnpis.lot:'EM06307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBDUDhSVw==	EM06307	36818	2007	NA	2		
1	2826380-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA		53,2	
1	2826380-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA			65,2
1	2826380-2007	gnpis.lot:'CF06235'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIzNQ==	CF06235	CF06235	2007	NA	2,5		
2	2826227-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA		94,52	
2	2826227-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA			73,7
2	2826227-2007	gnpis.lot:'RE06097'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1gwRlNKNg==	RE06097	36812	2007	NA			
1	2826254-2007	gnpis.lot:'EM06305'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwNQ==	EM06305	EM06305	2007	NA		84,74	
1	2826254-2007	gnpis.lot:'EM06305'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwNQ==	EM06305	EM06305	2007	NA			73,6
1	2826254-2007	gnpis.lot:'EM06305'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwNQ==	EM06305	EM06305	2007	NA			
1	2826262-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA		76,63	
1	2826262-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA			66,2
1	2826262-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA			
1	2826294-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA		84,78	
1	2826294-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			73,8
1	2826294-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			
2	2826371-2007	gnpis.lot:'CF06294'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5NA==	CF06294	CF06294	2007	NA		98,51	
2	2826371-2007	gnpis.lot:'CF06294'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5NA==	CF06294	CF06294	2007	NA			74
2	2826371-2007	gnpis.lot:'CF06294'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI5NA==	CF06294	CF06294	2007	NA			
2	2826285-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA		40,66	
2	2826285-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA			60
2	2826285-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA	2		
1	2826244-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA		53,13	
1	2826244-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA			62,9
1	2826244-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA	1		
2	2826265-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA		53,8	
2	2826265-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA			66
2	2826265-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA	4		
1	2826292-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA		73,6	
1	2826292-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA			71,1
1	2826292-2007	gnpis.lot:'DI07016'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzBERURBVQ==	DI07016	36782	2007	NA	1		
2	2826267-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA		92,38	
2	2826267-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA			76,9
2	2826267-2007	gnpis.lot:'Koreli'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzZQREhXTQ==	KORELI	29814	2007	NA			
1	2826342-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA		99,11	
1	2826342-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			73,3
1	2826342-2007	gnpis.lot:'Gorecki'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6R29yZWNraQ==	Gorecki	Gorecki	2007	NA			
2	2826257-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA		42,92	
2	2826257-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA			59,8
2	2826257-2007	gnpis.lot:'CF06269'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjI2OQ==	CF06269	CF06269	2007	NA	6,5		
1	2826282-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA		95,14	
1	2826282-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			75,2
1	2826282-2007	gnpis.lot:'Apache'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1Y4V1JIWQ==	APACHE	13481	2007	NA			
2	2826361-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA		51,59	
2	2826361-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA			57,1
2	2826361-2007	gnpis.lot:'EM06195'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjE5NQ==	EM06195	EM06195	2007	NA	1		
2	2826397-2007	gnpis.lot:'EM06233'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NBNFI4Qg==	EM06233	36799	2007	NA		55,73	
2	2826397-2007	gnpis.lot:'EM06233'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NBNFI4Qg==	EM06233	36799	2007	NA			63,2
2	2826397-2007	gnpis.lot:'EM06233'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1NBNFI4Qg==	EM06233	36799	2007	NA	4		
1	2826330-2007	gnpis.lot:'RE06140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lRRkUzTQ==	RE06140	36814	2007	NA		88,5	
1	2826330-2007	gnpis.lot:'RE06140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lRRkUzTQ==	RE06140	36814	2007	NA			73,9
1	2826330-2007	gnpis.lot:'RE06140'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1lRRkUzTQ==	RE06140	36814	2007	NA			
2	2826269-2007	gnpis.lot:'CF06225'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIyNQ==	CF06225	CF06225	2007	NA		38,8	
2	2826269-2007	gnpis.lot:'CF06225'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIyNQ==	CF06225	CF06225	2007	NA			58,4
2	2826269-2007	gnpis.lot:'CF06225'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0YwNjIyNQ==	CF06225	CF06225	2007	NA	2,5		
2	2826303-2007	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2007	NA		89,75	
2	2826303-2007	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2007	NA			73,7
2	2826303-2007	gnpis.lot:'Sankara'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1I1VkpXNg==	SANKARA	23878	2007	NA			
2	2826319-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA		72,89	
2	2826319-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA			68,8
2	2826319-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA			
2	2826349-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA		58,22	
2	2826349-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			66,7
2	2826349-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA	1		
2	2826385-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA		57,12	
2	2826385-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA			57,1
2	2826385-2007	gnpis.lot:'CF06230'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BCRDhQTw==	CF06230	33591	2007	NA	8		
2	2826287-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA		89,61	
2	2826287-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA			72,4
2	2826287-2007	gnpis.lot:'Mendel'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1ROSTNJVw==	MENDEL	23874	2007	NA			
1	2826290-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA		89,3	
1	2826290-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA			77,8
1	2826290-2007	gnpis.lot:'AO07001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wNzAwMQ==	AO07001	AO07001	2007	NA			
2	2826317-2007	gnpis.lot:'RE06119'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjExOQ==	RE06119	RE06119	2007	NA		38,17	
