Sample Name	Protocol REF	Assay Name	Derived Data File
LM04022itkt	phenotyping	2806460-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04022itkt	phenotyping	2806428-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
LM04022itkt	phenotyping	2806435-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Orvantisitkt	phenotyping	2806410-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Orvantisitkt	phenotyping	2806480-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
Orvantisitkt	phenotyping	2806485-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03012itkt	phenotyping	2806474-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03012itkt	phenotyping	2806429-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03019itkt	phenotyping	2806446-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03019itkt	phenotyping	2806459-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03019itkt	phenotyping	2806416-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE03099itkt	phenotyping	2806470-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04004itkt	phenotyping	2806450-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04004itkt	phenotyping	2806451-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04005itkt	phenotyping	2806421-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04005itkt	phenotyping	2806461-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04008itkt	phenotyping	2806453-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04008itkt	phenotyping	2806413-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04008itkt	phenotyping	2806458-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04009itkt	phenotyping	2806419-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04009itkt	phenotyping	2806409-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04009itkt	phenotyping	2806449-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04009itkt	phenotyping	2806426-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04009itkt	phenotyping	2806448-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
RE04012itkt	phenotyping	2806468-2005	d_BTH_Dijon_2005_SetB1_REPLICATION.txt
