observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	r	rdt
2764046-2000	gnpis.lot:'DI00007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwNw==	DI00007	DI00007	2000	NA	91,8	
2764046-2000	gnpis.lot:'DI00007'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwNw==	DI00007	DI00007	2000	NA		71,1
2764026-2000	gnpis.lot:'EM00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwMQ==	EM00001	EM00001	2000	NA	93,4	
2764026-2000	gnpis.lot:'EM00001'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wMDAwMQ==	EM00001	EM00001	2000	NA		72,4
2764038-2000	gnpis.lot:'CF99059'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA1OQ==	CF99059	CF99059	2000	NA	97,8	
2764038-2000	gnpis.lot:'CF99059'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6Q0Y5OTA1OQ==	CF99059	CF99059	2000	NA		75,8
2764024-2000	gnpis.lot:'DI00004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wNFZMRQ==	DI00004	29116	2000	NA	105,8	
2764024-2000	gnpis.lot:'DI00004'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L04wNFZMRQ==	DI00004	29116	2000	NA		82
2764023-2000	gnpis.lot:'Alberic'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0haVFQ4Rg==	ALBERIC	13712	2000	NA	103	
2764023-2000	gnpis.lot:'Alberic'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0haVFQ4Rg==	ALBERIC	13712	2000	NA		79,8
2764051-2000	gnpis.lot:'RE00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMw==	RE00003	RE00003	2000	NA	97,5	
2764051-2000	gnpis.lot:'RE00003'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwMDAwMw==	RE00003	RE00003	2000	NA		75,5
2764035-2000	gnpis.lot:'DI00009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwOQ==	DI00009	DI00009	2000	NA	112	
2764035-2000	gnpis.lot:'DI00009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwMDAwOQ==	DI00009	DI00009	2000	NA		86,8
2764043-2000	gnpis.lot:'CF99075'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tDVFlEVw==	CF99075	20363	2000	NA	94,4	
2764043-2000	gnpis.lot:'CF99075'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0tDVFlEVw==	CF99075	20363	2000	NA		73,1
