observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	solution_air_pressure	solution_name	phenovation_raw_image	solution_volume	2DVIS
P_9484	NA	NA	NA	Zea_VIB_RIL_8W_EP19_2___982	RIL_8W_EP19_2	982	NA	2012-07-01T10:00:00Z		195.69			
P_9484	NA	NA	NA	Zea_VIB_RIL_8W_EP19_2___982	RIL_8W_EP19_2	982	NA	2012-07-01T10:00:00Z				119.38	
P_9485	NA	NA	NA	Zea_VIB_RIL_8W_EP19_23___983	RIL_8W_EP19_23	983	NA	2012-07-01T10:00:00Z			75.19		
P_9485	NA	NA	NA	Zea_VIB_RIL_8W_EP19_23___983	RIL_8W_EP19_23	983	NA	2012-07-01T10:00:00Z	6.13				
P_9485	NA	NA	NA	Zea_VIB_RIL_8W_EP19_23___983	RIL_8W_EP19_23	983	NA	2012-07-01T10:00:00Z		138.37			
P_9485	NA	NA	NA	Zea_VIB_RIL_8W_EP19_23___983	RIL_8W_EP19_23	983	NA	2012-07-01T10:00:00Z				80.45	
P_9486	NA	NA	NA	Zea_VIB_RIL_8W_EP19_29___984	RIL_8W_EP19_29	984	NA	2012-07-01T10:00:00Z			77.66		
P_9486	NA	NA	NA	Zea_VIB_RIL_8W_EP19_29___984	RIL_8W_EP19_29	984	NA	2012-07-01T10:00:00Z	6.10				
P_9486	NA	NA	NA	Zea_VIB_RIL_8W_EP19_29___984	RIL_8W_EP19_29	984	NA	2012-07-01T10:00:00Z		163.52			
P_9486	NA	NA	NA	Zea_VIB_RIL_8W_EP19_29___984	RIL_8W_EP19_29	984	NA	2012-07-01T10:00:00Z				105.42	
P_9487	NA	NA	NA	Zea_VIB_RIL_8W_EP19_30___985	RIL_8W_EP19_30	985	NA	2012-07-01T10:00:00Z			72.11		
P_9487	NA	NA	NA	Zea_VIB_RIL_8W_EP19_30___985	RIL_8W_EP19_30	985	NA	2012-07-01T10:00:00Z	5.39				
P_9487	NA	NA	NA	Zea_VIB_RIL_8W_EP19_30___985	RIL_8W_EP19_30	985	NA	2012-07-01T10:00:00Z		149.52			
P_9487	NA	NA	NA	Zea_VIB_RIL_8W_EP19_30___985	RIL_8W_EP19_30	985	NA	2012-07-01T10:00:00Z				82.45	
P_9488	NA	NA	NA	Zea_VIB_RIL_8W_87RIL8way___184	RIL_8W_87 RIL 8-way 	184	NA	2012-07-01T10:00:00Z			75.91		
P_9488	NA	NA	NA	Zea_VIB_RIL_8W_87RIL8way___184	RIL_8W_87 RIL 8-way 	184	NA	2012-07-01T10:00:00Z	9.03				
P_9488	NA	NA	NA	Zea_VIB_RIL_8W_87RIL8way___184	RIL_8W_87 RIL 8-way 	184	NA	2012-07-01T10:00:00Z		179.27			
P_9488	NA	NA	NA	Zea_VIB_RIL_8W_87RIL8way___184	RIL_8W_87 RIL 8-way 	184	NA	2012-07-01T10:00:00Z				96.50	
P_9489	NA	NA	NA	Zea_VIB_RIL_8W_EP19_36___986	RIL_8W_EP19_36	986	NA	2012-07-01T10:00:00Z			73.56		
P_9489	NA	NA	NA	Zea_VIB_RIL_8W_EP19_36___986	RIL_8W_EP19_36	986	NA	2012-07-01T10:00:00Z	12.02				
P_9489	NA	NA	NA	Zea_VIB_RIL_8W_EP19_36___986	RIL_8W_EP19_36	986	NA	2012-07-01T10:00:00Z		195.31			
P_9489	NA	NA	NA	Zea_VIB_RIL_8W_EP19_36___986	RIL_8W_EP19_36	986	NA	2012-07-01T10:00:00Z				101.33	
P_9490	NA	NA	NA	Zea_VIB_RIL_8W_EP19_37___987	RIL_8W_EP19_37	987	NA	2012-07-01T10:00:00Z			70.56		
P_9490	NA	NA	NA	Zea_VIB_RIL_8W_EP19_37___987	RIL_8W_EP19_37	987	NA	2012-07-01T10:00:00Z	7.37				
P_9490	NA	NA	NA	Zea_VIB_RIL_8W_EP19_37___987	RIL_8W_EP19_37	987	NA	2012-07-01T10:00:00Z		127.56			
P_9490	NA	NA	NA	Zea_VIB_RIL_8W_EP19_37___987	RIL_8W_EP19_37	987	NA	2012-07-01T10:00:00Z				58.78	
P_9491	NA	NA	NA	Zea_VIB_RIL_8W_EP19_38___988	RIL_8W_EP19_38	988	NA	2012-07-01T10:00:00Z			72.38		
P_9491	NA	NA	NA	Zea_VIB_RIL_8W_EP19_38___988	RIL_8W_EP19_38	988	NA	2012-07-01T10:00:00Z	4.60				
P_9491	NA	NA	NA	Zea_VIB_RIL_8W_EP19_38___988	RIL_8W_EP19_38	988	NA	2012-07-01T10:00:00Z		141.37			
P_9491	NA	NA	NA	Zea_VIB_RIL_8W_EP19_38___988	RIL_8W_EP19_38	988	NA	2012-07-01T10:00:00Z				60.21	
P_9492	NA	NA	NA	Zea_VIB_RIL_8W_EP19_40___989	RIL_8W_EP19_40	989	NA	2012-07-01T10:00:00Z			74.42		
P_9492	NA	NA	NA	Zea_VIB_RIL_8W_EP19_40___989	RIL_8W_EP19_40	989	NA	2012-07-01T10:00:00Z	7.41				
P_9492	NA	NA	NA	Zea_VIB_RIL_8W_EP19_40___989	RIL_8W_EP19_40	989	NA	2012-07-01T10:00:00Z		166.44			
P_9492	NA	NA	NA	Zea_VIB_RIL_8W_EP19_40___989	RIL_8W_EP19_40	989	NA	2012-07-01T10:00:00Z				90.46	
P_9493	NA	NA	NA	Zea_VIB_RIL_8W_EP19_41___990	RIL_8W_EP19_41	990	NA	2012-07-01T10:00:00Z			79.10		
P_9493	NA	NA	NA	Zea_VIB_RIL_8W_EP19_41___990	RIL_8W_EP19_41	990	NA	2012-07-01T10:00:00Z	8.40				
P_9493	NA	NA	NA	Zea_VIB_RIL_8W_EP19_41___990	RIL_8W_EP19_41	990	NA	2012-07-01T10:00:00Z		222.59			
P_9493	NA	NA	NA	Zea_VIB_RIL_8W_EP19_41___990	RIL_8W_EP19_41	990	NA	2012-07-01T10:00:00Z				119.84	
P_9494	NA	NA	NA	Zea_VIB_RIL_8W_EP19_44___991	RIL_8W_EP19_44	991	NA	2012-07-01T10:00:00Z			78.18		
P_9494	NA	NA	NA	Zea_VIB_RIL_8W_EP19_44___991	RIL_8W_EP19_44	991	NA	2012-07-01T10:00:00Z	8.63				
P_9494	NA	NA	NA	Zea_VIB_RIL_8W_EP19_44___991	RIL_8W_EP19_44	991	NA	2012-07-01T10:00:00Z		226.22			
P_9494	NA	NA	NA	Zea_VIB_RIL_8W_EP19_44___991	RIL_8W_EP19_44	991	NA	2012-07-01T10:00:00Z				138.27	
P_9495	NA	NA	NA	Zea_VIB_RIL_8W_EP2_11___992	RIL_8W_EP2_11	992	NA	2012-07-01T10:00:00Z			78.92		
P_9495	NA	NA	NA	Zea_VIB_RIL_8W_EP2_11___992	RIL_8W_EP2_11	992	NA	2012-07-01T10:00:00Z	3.30				
P_9495	NA	NA	NA	Zea_VIB_RIL_8W_EP2_11___992	RIL_8W_EP2_11	992	NA	2012-07-01T10:00:00Z		140.95			
P_9495	NA	NA	NA	Zea_VIB_RIL_8W_EP2_11___992	RIL_8W_EP2_11	992	NA	2012-07-01T10:00:00Z				78.96	
P_9496	NA	NA	NA	Zea_VIB_RIL_8W_EP2_14___993	RIL_8W_EP2_14	993	NA	2012-07-01T10:00:00Z			77.40		
P_9496	NA	NA	NA	Zea_VIB_RIL_8W_EP2_14___993	RIL_8W_EP2_14	993	NA	2012-07-01T10:00:00Z	4.24				
P_9496	NA	NA	NA	Zea_VIB_RIL_8W_EP2_14___993	RIL_8W_EP2_14	993	NA	2012-07-01T10:00:00Z		112.08			
P_9496	NA	NA	NA	Zea_VIB_RIL_8W_EP2_14___993	RIL_8W_EP2_14	993	NA	2012-07-01T10:00:00Z				47.61	
P_9497	NA	NA	NA	Zea_VIB_RIL_8W_EP2_15___994	RIL_8W_EP2_15	994	NA	2012-07-01T10:00:00Z			80.11		
P_9497	NA	NA	NA	Zea_VIB_RIL_8W_EP2_15___994	RIL_8W_EP2_15	994	NA	2012-07-01T10:00:00Z	5.25				
P_9497	NA	NA	NA	Zea_VIB_RIL_8W_EP2_15___994	RIL_8W_EP2_15	994	NA	2012-07-01T10:00:00Z		130.65			
P_9497	NA	NA	NA	Zea_VIB_RIL_8W_EP2_15___994	RIL_8W_EP2_15	994	NA	2012-07-01T10:00:00Z				70.16	
P_9498	NA	NA	NA	Zea_VIB_RIL_8W_EP2_28___995	RIL_8W_EP2_28	995	NA	2012-07-01T10:00:00Z			71.51		
P_9498	NA	NA	NA	Zea_VIB_RIL_8W_EP2_28___995	RIL_8W_EP2_28	995	NA	2012-07-01T10:00:00Z	9.06				
P_9498	NA	NA	NA	Zea_VIB_RIL_8W_EP2_28___995	RIL_8W_EP2_28	995	NA	2012-07-01T10:00:00Z		145.29			
P_9498	NA	NA	NA	Zea_VIB_RIL_8W_EP2_28___995	RIL_8W_EP2_28	995	NA	2012-07-01T10:00:00Z				61.78	
P_9499	NA	NA	NA	Zea_VIB_RIL_8W_62RIL8way___161	RIL_8W_62 RIL 8-way 	161	NA	2012-07-01T10:00:00Z			76.64		
P_9499	NA	NA	NA	Zea_VIB_RIL_8W_62RIL8way___161	RIL_8W_62 RIL 8-way 	161	NA	2012-07-01T10:00:00Z	4.82				
P_9499	NA	NA	NA	Zea_VIB_RIL_8W_62RIL8way___161	RIL_8W_62 RIL 8-way 	161	NA	2012-07-01T10:00:00Z		150.79			
P_9499	NA	NA	NA	Zea_VIB_RIL_8W_62RIL8way___161	RIL_8W_62 RIL 8-way 	161	NA	2012-07-01T10:00:00Z				82.18	
P_9500	NA	NA	NA	Zea_VIB_RIL_8W_29RIL8way___136	RIL_8W_29 RIL 8-way 	136	NA	2012-07-01T10:00:00Z			75.61		
P_9500	NA	NA	NA	Zea_VIB_RIL_8W_29RIL8way___136	RIL_8W_29 RIL 8-way 	136	NA	2012-07-01T10:00:00Z	5.89				
P_9500	NA	NA	NA	Zea_VIB_RIL_8W_29RIL8way___136	RIL_8W_29 RIL 8-way 	136	NA	2012-07-01T10:00:00Z		137.81			
P_9500	NA	NA	NA	Zea_VIB_RIL_8W_29RIL8way___136	RIL_8W_29 RIL 8-way 	136	NA	2012-07-01T10:00:00Z				56.33	
P_9501	NA	NA	NA	Zea_VIB_RIL_8W_EP2_59___996	RIL_8W_EP2_59	996	NA	2012-07-01T10:00:00Z			69.68		
P_9501	NA	NA	NA	Zea_VIB_RIL_8W_EP2_59___996	RIL_8W_EP2_59	996	NA	2012-07-01T10:00:00Z	5.68				
P_9501	NA	NA	NA	Zea_VIB_RIL_8W_EP2_59___996	RIL_8W_EP2_59	996	NA	2012-07-01T10:00:00Z		131.67			
P_9501	NA	NA	NA	Zea_VIB_RIL_8W_EP2_59___996	RIL_8W_EP2_59	996	NA	2012-07-01T10:00:00Z				71.99	
P_9502	NA	NA	NA	Zea_VIB_RIL_8W_EP2_6___997	RIL_8W_EP2_6	997	NA	2012-07-01T10:00:00Z			74.97		
P_9502	NA	NA	NA	Zea_VIB_RIL_8W_EP2_6___997	RIL_8W_EP2_6	997	NA	2012-07-01T10:00:00Z	3.62				
P_9502	NA	NA	NA	Zea_VIB_RIL_8W_EP2_6___997	RIL_8W_EP2_6	997	NA	2012-07-01T10:00:00Z		170.21			
P_9502	NA	NA	NA	Zea_VIB_RIL_8W_EP2_6___997	RIL_8W_EP2_6	997	NA	2012-07-01T10:00:00Z				90.92	
P_9503	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2012-07-01T10:00:00Z			73.90		
P_9503	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2012-07-01T10:00:00Z	4.53				
P_9503	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2012-07-01T10:00:00Z		124.18			
P_9503	NA	NA	NA	Zea_VIB_RIL_8W_10RIL8way___124	RIL_8W_10 RIL 8-way 	124	NA	2012-07-01T10:00:00Z				54.64	
P_9504	NA	NA	NA	Zea_VIB_RIL_8W_11RIL8way___118	RIL_8W_11 RIL 8-way 	118	NA	2012-07-01T10:00:00Z			77.70		
P_9504	NA	NA	NA	Zea_VIB_RIL_8W_11RIL8way___118	RIL_8W_11 RIL 8-way 	118	NA	2012-07-01T10:00:00Z	3.75				
P_9504	NA	NA	NA	Zea_VIB_RIL_8W_11RIL8way___118	RIL_8W_11 RIL 8-way 	118	NA	2012-07-01T10:00:00Z		139.96			
P_9504	NA	NA	NA	Zea_VIB_RIL_8W_11RIL8way___118	RIL_8W_11 RIL 8-way 	118	NA	2012-07-01T10:00:00Z				69.00	
