Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_71	plant	[plant]71
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_72	plant	[plant]72
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_66	plant	[plant]66
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_78	plant	[plant]78
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_70	plant	[plant]70
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_68	plant	[plant]68
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_80	plant	[plant]80
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_74	plant	[plant]74
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_62	plant	[plant]62
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_64	plant	[plant]64
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_67	plant	[plant]67
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_61	plant	[plant]61
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_73	plant	[plant]73
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_69	plant	[plant]69
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_77	plant	[plant]77
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_63	plant	[plant]63
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_65	plant	[plant]65
RIL70 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_76	plant	[plant]76
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_57	plant	[plant]57
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_51	plant	[plant]51
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_50	plant	[plant]50
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_55	plant	[plant]55
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_41	plant	[plant]41
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_58	plant	[plant]58
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_48	plant	[plant]48
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_59	plant	[plant]59
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_53	plant	[plant]53
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_47	plant	[plant]47
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_52	plant	[plant]52
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_60	plant	[plant]60
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_56	plant	[plant]56
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_54	plant	[plant]54
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_43	plant	[plant]43
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_45	plant	[plant]45
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_46	plant	[plant]46
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_49	plant	[plant]49
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_44	plant	[plant]44
RIL71 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_42	plant	[plant]42
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_28	plant	[plant]28
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_27	plant	[plant]27
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_22	plant	[plant]22
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_33	plant	[plant]33
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_40	plant	[plant]40
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_31	plant	[plant]31
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_39	plant	[plant]39
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_26	plant	[plant]26
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_38	plant	[plant]38
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_29	plant	[plant]29
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_37	plant	[plant]37
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_35	plant	[plant]35
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_36	plant	[plant]36
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_24	plant	[plant]24
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_32	plant	[plant]32
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_30	plant	[plant]30
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_34	plant	[plant]34
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_25	plant	[plant]25
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_23	plant	[plant]23
RIL76 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_21	plant	[plant]21
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_20	plant	[plant]20
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_18	plant	[plant]18
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_15	plant	[plant]15
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_3	plant	[plant]3
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_4	plant	[plant]4
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_12	plant	[plant]12
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_8	plant	[plant]8
RIL81 RIL 2-way 	NCBI:4577	Zea	mays	sample collection	pot_6	plant	[plant]6
